,date,month,year,instruments,volume
59,2018-12-01,12,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,270
96,2019-01-01,1,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,1030
108,2019-01-01,1,2019,Municipal bonds_Banks,126
120,2019-01-01,1,2019,Municipal bonds_Institutional Clients,1322
84,2019-01-01,1,2019,Municipal bonds_Investment Dealers,187
156,2019-01-01,1,2019,Municipal bonds_Issuer,0
144,2019-01-01,1,2019,Municipal bonds_Non-Residents,434
132,2019-01-01,1,2019,Municipal bonds_Retail Clients,129
12,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,454
24,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Banks,77
36,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,3314
0,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,227
72,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Issuer,30
60,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,823
48,2019-01-01,1,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,273
97,2019-02-01,2,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,517
109,2019-02-01,2,2019,Municipal bonds_Banks,108
121,2019-02-01,2,2019,Municipal bonds_Institutional Clients,1205
85,2019-02-01,2,2019,Municipal bonds_Investment Dealers,125
157,2019-02-01,2,2019,Municipal bonds_Issuer,0
145,2019-02-01,2,2019,Municipal bonds_Non-Residents,268
133,2019-02-01,2,2019,Municipal bonds_Retail Clients,100
13,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,699
25,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Banks,248
37,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,2768
1,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,198
73,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Issuer,30
61,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,744
49,2019-02-01,2,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,248
98,2019-03-01,3,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,708
110,2019-03-01,3,2019,Municipal bonds_Banks,114
122,2019-03-01,3,2019,Municipal bonds_Institutional Clients,1394
86,2019-03-01,3,2019,Municipal bonds_Investment Dealers,109
158,2019-03-01,3,2019,Municipal bonds_Issuer,0
146,2019-03-01,3,2019,Municipal bonds_Non-Residents,278
134,2019-03-01,3,2019,Municipal bonds_Retail Clients,95
14,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,495
26,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Banks,189
38,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,4358
2,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,291
74,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Issuer,143
62,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,200
50,2019-03-01,3,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,459
99,2019-04-01,4,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,903
111,2019-04-01,4,2019,Municipal bonds_Banks,82
123,2019-04-01,4,2019,Municipal bonds_Institutional Clients,1430
87,2019-04-01,4,2019,Municipal bonds_Investment Dealers,147
159,2019-04-01,4,2019,Municipal bonds_Issuer,0
147,2019-04-01,4,2019,Municipal bonds_Non-Residents,408
135,2019-04-01,4,2019,Municipal bonds_Retail Clients,97
15,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,101
27,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Banks,324
39,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,3134
3,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,244
75,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Issuer,0
63,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,612
51,2019-04-01,4,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,355
100,2019-05-01,5,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,787
112,2019-05-01,5,2019,Municipal bonds_Banks,98
124,2019-05-01,5,2019,Municipal bonds_Institutional Clients,2513
88,2019-05-01,5,2019,Municipal bonds_Investment Dealers,170
160,2019-05-01,5,2019,Municipal bonds_Issuer,0
148,2019-05-01,5,2019,Municipal bonds_Non-Residents,284
