,date,month,year,instruments,volume
82,2018-11-01,11,2018,Corporate Bonds_Under 10 years,36554
46,2018-11-01,11,2018,Federal Crown Corporation Bonds_All,221567
154,2018-11-01,11,2018,Government of Canada Bonds_All,30
118,2018-11-01,11,2018,Mortgage Backed Securities_All,17771
106,2018-11-01,11,2018,Municipal Bonds_All,2649
142,2018-11-01,11,2018,Other Domestic Bonds_All,1122
178,2018-11-01,11,2018,Other_All,3754
166,2018-11-01,11,2018,Provincial Bonds_All,9777
70,2018-11-01,11,2018,Provincial Bonds_Over 10 years,124459
58,2018-11-01,11,2018,Provincial Bonds_Under 10 years,263620
10,2018-11-01,11,2018,The Month_3-10 years,656791
22,2018-11-01,11,2018,The Month_Over 10 years,222247
34,2018-11-01,11,2018,The Month_Real Return Bonds,73761
131,2018-12-01,12,2018,Asset-Backed Securities_All,66
95,2018-12-01,12,2018,Corporate Bonds_Over 10 years,2044
83,2018-12-01,12,2018,Corporate Bonds_Under 10 years,33444
47,2018-12-01,12,2018,Federal Crown Corporation Bonds_All,250673
155,2018-12-01,12,2018,Government of Canada Bonds_All,16
119,2018-12-01,12,2018,Mortgage Backed Securities_All,13026
107,2018-12-01,12,2018,Municipal Bonds_All,2277
143,2018-12-01,12,2018,Other Domestic Bonds_All,1134
179,2018-12-01,12,2018,Other_All,2482
167,2018-12-01,12,2018,Provincial Bonds_All,9104
71,2018-12-01,12,2018,Provincial Bonds_Over 10 years,137744
59,2018-12-01,12,2018,Provincial Bonds_Under 10 years,252610
11,2018-12-01,12,2018,The Month_3-10 years,583984
23,2018-12-01,12,2018,The Month_Over 10 years,223550
35,2018-12-01,12,2018,The Month_Real Return Bonds,78982
120,2019-01-01,1,2019,Asset-Backed Securities_All,17
84,2019-01-01,1,2019,Corporate Bonds_Over 10 years,806
72,2019-01-01,1,2019,Corporate Bonds_Under 10 years,42099
36,2019-01-01,1,2019,Federal Crown Corporation Bonds_All,301584
144,2019-01-01,1,2019,Government of Canada Bonds_All,320
108,2019-01-01,1,2019,Mortgage Backed Securities_All,13144
96,2019-01-01,1,2019,Municipal Bonds_All,2285
132,2019-01-01,1,2019,Other Domestic Bonds_All,659
168,2019-01-01,1,2019,Other_All,2912
156,2019-01-01,1,2019,Provincial Bonds_All,16133
60,2019-01-01,1,2019,Provincial Bonds_Over 10 years,179574
48,2019-01-01,1,2019,Provincial Bonds_Under 10 years,265900
0,2019-01-01,1,2019,The Month_3-10 years,768034
12,2019-01-01,1,2019,The Month_Over 10 years,229971
24,2019-01-01,1,2019,The Month_Real Return Bonds,78678
121,2019-02-01,2,2019,Asset-Backed Securities_All,17
85,2019-02-01,2,2019,Corporate Bonds_Over 10 years,216
73,2019-02-01,2,2019,Corporate Bonds_Under 10 years,44341
37,2019-02-01,2,2019,Federal Crown Corporation Bonds_All,214305
145,2019-02-01,2,2019,Government of Canada Bonds_All,92
109,2019-02-01,2,2019,Mortgage Backed Securities_All,13785
97,2019-02-01,2,2019,Municipal Bonds_All,1580
133,2019-02-01,2,2019,Other Domestic Bonds_All,1208
169,2019-02-01,2,2019,Other_All,2555
157,2019-02-01,2,2019,Provincial Bonds_All,14423
61,2019-02-01,2,2019,Provincial Bonds_Over 10 years,159424
49,2019-02-01,2,2019,Provincial Bonds_Under 10 years,235285
1,2019-02-01,2,2019,The Month_3-10 years,666256
13,2019-02-01,2,2019,The Month_Over 10 years,212306
25,2019-02-01,2,2019,The Month_Real Return Bonds,68600
122,2019-03-01,3,2019,Asset-Backed Securities_All,21
86,2019-03-01,3,2019,Corporate Bonds_Over 10 years,275
74,2019-03-01,3,2019,Corporate Bonds_Under 10 years,51037
38,2019-03-01,3,2019,Federal Crown Corporation Bonds_All,219548
146,2019-03-01,3,2019,Government of Canada Bonds_All,2
110,2019-03-01,3,2019,Mortgage Backed Securities_All,11301
98,2019-03-01,3,2019,Municipal Bonds_All,1256
134,2019-03-01,3,2019,Other Domestic Bonds_All,679
170,2019-03-01,3,2019,Other_All,2585
158,2019-03-01,3,2019,Provincial Bonds_All,11349
62,2019-03-01,3,2019,Provincial Bonds_Over 10 years,152571
50,2019-03-01,3,2019,Provincial Bonds_Under 10 years,247465
2,2019-03-01,3,2019,The Month_3-10 years,719402
14,2019-03-01,3,2019,The Month_Over 10 years,215402
26,2019-03-01,3,2019,The Month_Real Return Bonds,100904
123,2019-04-01,4,2019,Asset-Backed Securities_All,44
87,2019-04-01,4,2019,Corporate Bonds_Over 10 years,455
75,2019-04-01,4,2019,Corporate Bonds_Under 10 years,43372
39,2019-04-01,4,2019,Federal Crown Corporation Bonds_All,260540
147,2019-04-01,4,2019,Government of Canada Bonds_All,176
111,2019-04-01,4,2019,Mortgage Backed Securities_All,23047
99,2019-04-01,4,2019,Municipal Bonds_All,700
135,2019-04-01,4,2019,Other Domestic Bonds_All,136
171,2019-04-01,4,2019,Other_All,2507
159,2019-04-01,4,2019,Provincial Bonds_All,20783
63,2019-04-01,4,2019,Provincial Bonds_Over 10 years,155063
51,2019-04-01,4,2019,Provincial Bonds_Under 10 years,235794
3,2019-04-01,4,2019,The Month_3-10 years,750943
15,2019-04-01,4,2019,The Month_Over 10 years,256690
27,2019-04-01,4,2019,The Month_Real Return Bonds,96745
124,2019-05-01,5,2019,Asset-Backed Securities_All,24
88,2019-05-01,5,2019,Corporate Bonds_Over 10 years,286
76,2019-05-01,5,2019,Corporate Bonds_Under 10 years,14237
40,2019-05-01,5,2019,Federal Crown Corporation Bonds_All,298037
148,2019-05-01,5,2019,Government of Canada Bonds_All,75
112,2019-05-01,5,2019,Mortgage Backed Securities_All,14007
100,2019-05-01,5,2019,Municipal Bonds_All,1354
136,2019-05-01,5,2019,Other Domestic Bonds_All,189
172,2019-05-01,5,2019,Other_All,4478
160,2019-05-01,5,2019,Provincial Bonds_All,16477
64,2019-05-01,5,2019,Provincial Bonds_Over 10 years,132740
52,2019-05-01,5,2019,Provincial Bonds_Under 10 years,214960
4,2019-05-01,5,2019,The Month_3-10 years,897426
16,2019-05-01,5,2019,The Month_Over 10 years,333450
28,2019-05-01,5,2019,The Month_Real Return Bonds,110250
