,date,month,year,instruments,volume,Segment,AssetClass,Duration
10,2020-11-01,11,2020,Corporate Bonds_Investment Dealers,1925.874082,CORP,Corporate Bonds,Investment Dealers
82,2020-11-01,11,2020,Corporate Bonds_Issuer,249.074105,CORP,Corporate Bonds,Issuer
70,2020-11-01,11,2020,Corporate Bonds_Non-Residents,6305.777294,CORP,Corporate Bonds,Non-Residents
58,2020-11-01,11,2020,Corporate Bonds_Retail Clients,858.365254,CORP,Corporate Bonds,Retail Clients
106,2020-11-01,11,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
118,2020-11-01,11,2020,Other Domestic Bonds_Banks,57.580002,CORP,Other Domestic Bonds,Banks
130,2020-11-01,11,2020,Other Domestic Bonds_Institutional Clients,218.814858,CORP,Other Domestic Bonds,Institutional Clients
94,2020-11-01,11,2020,Other Domestic Bonds_Investment Dealers,3.092182,CORP,Other Domestic Bonds,Investment Dealers
166,2020-11-01,11,2020,Other Domestic Bonds_Issuer,25.005,CORP,Other Domestic Bonds,Issuer
154,2020-11-01,11,2020,Other Domestic Bonds_Non-Residents,4.58,CORP,Other Domestic Bonds,Non-Residents
142,2020-11-01,11,2020,Other Domestic Bonds_Retail Clients,8.989884,CORP,Other Domestic Bonds,Retail Clients
23,2020-12-01,12,2020,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1419.675,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
35,2020-12-01,12,2020,Corporate Bonds_Banks,1465.489135,CORP,Corporate Bonds,Banks
47,2020-12-01,12,2020,Corporate Bonds_Institutional Clients,32794.696024,CORP,Corporate Bonds,Institutional Clients
11,2020-12-01,12,2020,Corporate Bonds_Investment Dealers,2186.864348,CORP,Corporate Bonds,Investment Dealers
83,2020-12-01,12,2020,Corporate Bonds_Issuer,187.84135,CORP,Corporate Bonds,Issuer
71,2020-12-01,12,2020,Corporate Bonds_Non-Residents,6791.654605,CORP,Corporate Bonds,Non-Residents
59,2020-12-01,12,2020,Corporate Bonds_Retail Clients,1026.246366,CORP,Corporate Bonds,Retail Clients
107,2020-12-01,12,2020,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
119,2020-12-01,12,2020,Other Domestic Bonds_Banks,85.560383,CORP,Other Domestic Bonds,Banks
131,2020-12-01,12,2020,Other Domestic Bonds_Institutional Clients,752.760833,CORP,Other Domestic Bonds,Institutional Clients
95,2020-12-01,12,2020,Other Domestic Bonds_Investment Dealers,13.350493,CORP,Other Domestic Bonds,Investment Dealers
167,2020-12-01,12,2020,Other Domestic Bonds_Issuer,0.4,CORP,Other Domestic Bonds,Issuer
155,2020-12-01,12,2020,Other Domestic Bonds_Non-Residents,63.9679,CORP,Other Domestic Bonds,Non-Residents
143,2020-12-01,12,2020,Other Domestic Bonds_Retail Clients,15.284522,CORP,Other Domestic Bonds,Retail Clients
12,2021-01-01,1,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2385.992,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
24,2021-01-01,1,2021,Corporate Bonds_Banks,1573.256893,CORP,Corporate Bonds,Banks
36,2021-01-01,1,2021,Corporate Bonds_Institutional Clients,36665.659065,CORP,Corporate Bonds,Institutional Clients
0,2021-01-01,1,2021,Corporate Bonds_Investment Dealers,2501.467116,CORP,Corporate Bonds,Investment Dealers
72,2021-01-01,1,2021,Corporate Bonds_Issuer,99.17545,CORP,Corporate Bonds,Issuer
60,2021-01-01,1,2021,Corporate Bonds_Non-Residents,9370.517591,CORP,Corporate Bonds,Non-Residents
48,2021-01-01,1,2021,Corporate Bonds_Retail Clients,1313.97159,CORP,Corporate Bonds,Retail Clients
96,2021-01-01,1,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,2,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
108,2021-01-01,1,2021,Other Domestic Bonds_Banks,90.705253,CORP,Other Domestic Bonds,Banks
120,2021-01-01,1,2021,Other Domestic Bonds_Institutional Clients,296.973816,CORP,Other Domestic Bonds,Institutional Clients
84,2021-01-01,1,2021,Other Domestic Bonds_Investment Dealers,10.573213,CORP,Other Domestic Bonds,Investment Dealers
156,2021-01-01,1,2021,Other Domestic Bonds_Issuer,20.378,CORP,Other Domestic Bonds,Issuer
144,2021-01-01,1,2021,Other Domestic Bonds_Non-Residents,202.968,CORP,Other Domestic Bonds,Non-Residents
132,2021-01-01,1,2021,Other Domestic Bonds_Retail Clients,9.584234,CORP,Other Domestic Bonds,Retail Clients
13,2021-02-01,2,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2225.937,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
25,2021-02-01,2,2021,Corporate Bonds_Banks,1253.067489,CORP,Corporate Bonds,Banks
37,2021-02-01,2,2021,Corporate Bonds_Institutional Clients,38927.205154,CORP,Corporate Bonds,Institutional Clients
1,2021-02-01,2,2021,Corporate Bonds_Investment Dealers,2442.143057,CORP,Corporate Bonds,Investment Dealers
73,2021-02-01,2,2021,Corporate Bonds_Issuer,232.1045,CORP,Corporate Bonds,Issuer
61,2021-02-01,2,2021,Corporate Bonds_Non-Residents,6970.386216,CORP,Corporate Bonds,Non-Residents
49,2021-02-01,2,2021,Corporate Bonds_Retail Clients,1004.448246,CORP,Corporate Bonds,Retail Clients
97,2021-02-01,2,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,40.5,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
109,2021-02-01,2,2021,Other Domestic Bonds_Banks,378.586525,CORP,Other Domestic Bonds,Banks
121,2021-02-01,2,2021,Other Domestic Bonds_Institutional Clients,1177.762429,CORP,Other Domestic Bonds,Institutional Clients
85,2021-02-01,2,2021,Other Domestic Bonds_Investment Dealers,299.835732,CORP,Other Domestic Bonds,Investment Dealers
157,2021-02-01,2,2021,Other Domestic Bonds_Issuer,7.393,CORP,Other Domestic Bonds,Issuer
145,2021-02-01,2,2021,Other Domestic Bonds_Non-Residents,1038.378,CORP,Other Domestic Bonds,Non-Residents
133,2021-02-01,2,2021,Other Domestic Bonds_Retail Clients,14.864417,CORP,Other Domestic Bonds,Retail Clients
14,2021-03-01,3,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2067.9015,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
26,2021-03-01,3,2021,Corporate Bonds_Banks,1486.109164,CORP,Corporate Bonds,Banks
38,2021-03-01,3,2021,Corporate Bonds_Institutional Clients,49137.380044,CORP,Corporate Bonds,Institutional Clients
2,2021-03-01,3,2021,Corporate Bonds_Investment Dealers,2563.574183,CORP,Corporate Bonds,Investment Dealers
74,2021-03-01,3,2021,Corporate Bonds_Issuer,131.461653,CORP,Corporate Bonds,Issuer
62,2021-03-01,3,2021,Corporate Bonds_Non-Residents,9231.523366,CORP,Corporate Bonds,Non-Residents
50,2021-03-01,3,2021,Corporate Bonds_Retail Clients,1907.845586,CORP,Corporate Bonds,Retail Clients
98,2021-03-01,3,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
110,2021-03-01,3,2021,Other Domestic Bonds_Banks,129.862,CORP,Other Domestic Bonds,Banks
122,2021-03-01,3,2021,Other Domestic Bonds_Institutional Clients,127.73,CORP,Other Domestic Bonds,Institutional Clients
86,2021-03-01,3,2021,Other Domestic Bonds_Investment Dealers,117.4302,CORP,Other Domestic Bonds,Investment Dealers
158,2021-03-01,3,2021,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
146,2021-03-01,3,2021,Other Domestic Bonds_Non-Residents,533.476,CORP,Other Domestic Bonds,Non-Residents
134,2021-03-01,3,2021,Other Domestic Bonds_Retail Clients,0.87306,CORP,Other Domestic Bonds,Retail Clients
15,2021-04-01,4,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1785.66094,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
27,2021-04-01,4,2021,Corporate Bonds_Banks,1128.262871,CORP,Corporate Bonds,Banks
39,2021-04-01,4,2021,Corporate Bonds_Institutional Clients,33864.575135,CORP,Corporate Bonds,Institutional Clients
3,2021-04-01,4,2021,Corporate Bonds_Investment Dealers,2318.717163,CORP,Corporate Bonds,Investment Dealers
75,2021-04-01,4,2021,Corporate Bonds_Issuer,37.874793,CORP,Corporate Bonds,Issuer
63,2021-04-01,4,2021,Corporate Bonds_Non-Residents,7840.106957,CORP,Corporate Bonds,Non-Residents
51,2021-04-01,4,2021,Corporate Bonds_Retail Clients,1225.873917,CORP,Corporate Bonds,Retail Clients
99,2021-04-01,4,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,6,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
111,2021-04-01,4,2021,Other Domestic Bonds_Banks,36.5875,CORP,Other Domestic Bonds,Banks
123,2021-04-01,4,2021,Other Domestic Bonds_Institutional Clients,9.422,CORP,Other Domestic Bonds,Institutional Clients
87,2021-04-01,4,2021,Other Domestic Bonds_Investment Dealers,0.178,CORP,Other Domestic Bonds,Investment Dealers
159,2021-04-01,4,2021,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
147,2021-04-01,4,2021,Other Domestic Bonds_Non-Residents,59.538,CORP,Other Domestic Bonds,Non-Residents
135,2021-04-01,4,2021,Other Domestic Bonds_Retail Clients,0.815296,CORP,Other Domestic Bonds,Retail Clients
16,2021-05-01,5,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1629.337,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
28,2021-05-01,5,2021,Corporate Bonds_Banks,1061.429606,CORP,Corporate Bonds,Banks
40,2021-05-01,5,2021,Corporate Bonds_Institutional Clients,32287.700718,CORP,Corporate Bonds,Institutional Clients
4,2021-05-01,5,2021,Corporate Bonds_Investment Dealers,2264.766519,CORP,Corporate Bonds,Investment Dealers
76,2021-05-01,5,2021,Corporate Bonds_Issuer,191.765393,CORP,Corporate Bonds,Issuer
64,2021-05-01,5,2021,Corporate Bonds_Non-Residents,7049.323084,CORP,Corporate Bonds,Non-Residents
52,2021-05-01,5,2021,Corporate Bonds_Retail Clients,1546.635854,CORP,Corporate Bonds,Retail Clients
100,2021-05-01,5,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
112,2021-05-01,5,2021,Other Domestic Bonds_Banks,447.162,CORP,Other Domestic Bonds,Banks
124,2021-05-01,5,2021,Other Domestic Bonds_Institutional Clients,67.778,CORP,Other Domestic Bonds,Institutional Clients
88,2021-05-01,5,2021,Other Domestic Bonds_Investment Dealers,34.6065,CORP,Other Domestic Bonds,Investment Dealers
160,2021-05-01,5,2021,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
148,2021-05-01,5,2021,Other Domestic Bonds_Non-Residents,1285.839,CORP,Other Domestic Bonds,Non-Residents
136,2021-05-01,5,2021,Other Domestic Bonds_Retail Clients,0.785814,CORP,Other Domestic Bonds,Retail Clients
17,2021-06-01,6,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1356.963,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
29,2021-06-01,6,2021,Corporate Bonds_Banks,1388.057025,CORP,Corporate Bonds,Banks
41,2021-06-01,6,2021,Corporate Bonds_Institutional Clients,37799.486331,CORP,Corporate Bonds,Institutional Clients
5,2021-06-01,6,2021,Corporate Bonds_Investment Dealers,3270.179416,CORP,Corporate Bonds,Investment Dealers
77,2021-06-01,6,2021,Corporate Bonds_Issuer,116.164311,CORP,Corporate Bonds,Issuer
65,2021-06-01,6,2021,Corporate Bonds_Non-Residents,9581.496733,CORP,Corporate Bonds,Non-Residents
53,2021-06-01,6,2021,Corporate Bonds_Retail Clients,1629.88318,CORP,Corporate Bonds,Retail Clients
101,2021-06-01,6,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,5,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
113,2021-06-01,6,2021,Other Domestic Bonds_Banks,18.0255,CORP,Other Domestic Bonds,Banks
125,2021-06-01,6,2021,Other Domestic Bonds_Institutional Clients,49.533,CORP,Other Domestic Bonds,Institutional Clients
89,2021-06-01,6,2021,Other Domestic Bonds_Investment Dealers,128.2145,CORP,Other Domestic Bonds,Investment Dealers
161,2021-06-01,6,2021,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
149,2021-06-01,6,2021,Other Domestic Bonds_Non-Residents,671.614,CORP,Other Domestic Bonds,Non-Residents
137,2021-06-01,6,2021,Other Domestic Bonds_Retail Clients,6.193703,CORP,Other Domestic Bonds,Retail Clients
18,2021-07-01,7,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1329.9255,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
30,2021-07-01,7,2021,Corporate Bonds_Banks,857.865089,CORP,Corporate Bonds,Banks
42,2021-07-01,7,2021,Corporate Bonds_Institutional Clients,27902.478296,CORP,Corporate Bonds,Institutional Clients
6,2021-07-01,7,2021,Corporate Bonds_Investment Dealers,2207.713213,CORP,Corporate Bonds,Investment Dealers
78,2021-07-01,7,2021,Corporate Bonds_Issuer,57.336099,CORP,Corporate Bonds,Issuer
66,2021-07-01,7,2021,Corporate Bonds_Non-Residents,10435.711899,CORP,Corporate Bonds,Non-Residents
54,2021-07-01,7,2021,Corporate Bonds_Retail Clients,1343.283626,CORP,Corporate Bonds,Retail Clients
102,2021-07-01,7,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
114,2021-07-01,7,2021,Other Domestic Bonds_Banks,36.25,CORP,Other Domestic Bonds,Banks
126,2021-07-01,7,2021,Other Domestic Bonds_Institutional Clients,271.087256,CORP,Other Domestic Bonds,Institutional Clients
90,2021-07-01,7,2021,Other Domestic Bonds_Investment Dealers,106.392,CORP,Other Domestic Bonds,Investment Dealers
162,2021-07-01,7,2021,Other Domestic Bonds_Issuer,0.475915,CORP,Other Domestic Bonds,Issuer
150,2021-07-01,7,2021,Other Domestic Bonds_Non-Residents,536.828,CORP,Other Domestic Bonds,Non-Residents
138,2021-07-01,7,2021,Other Domestic Bonds_Retail Clients,26.821588,CORP,Other Domestic Bonds,Retail Clients
19,2021-08-01,8,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1616.8895,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
31,2021-08-01,8,2021,Corporate Bonds_Banks,910.16576,CORP,Corporate Bonds,Banks
43,2021-08-01,8,2021,Corporate Bonds_Institutional Clients,24742.099317,CORP,Corporate Bonds,Institutional Clients
7,2021-08-01,8,2021,Corporate Bonds_Investment Dealers,1985.449215,CORP,Corporate Bonds,Investment Dealers
79,2021-08-01,8,2021,Corporate Bonds_Issuer,81.704896,CORP,Corporate Bonds,Issuer
67,2021-08-01,8,2021,Corporate Bonds_Non-Residents,7407.111776,CORP,Corporate Bonds,Non-Residents
55,2021-08-01,8,2021,Corporate Bonds_Retail Clients,1184.031207,CORP,Corporate Bonds,Retail Clients
103,2021-08-01,8,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
115,2021-08-01,8,2021,Other Domestic Bonds_Banks,40.42633,CORP,Other Domestic Bonds,Banks
127,2021-08-01,8,2021,Other Domestic Bonds_Institutional Clients,375.168752,CORP,Other Domestic Bonds,Institutional Clients
91,2021-08-01,8,2021,Other Domestic Bonds_Investment Dealers,58.735549,CORP,Other Domestic Bonds,Investment Dealers
163,2021-08-01,8,2021,Other Domestic Bonds_Issuer,9.81228,CORP,Other Domestic Bonds,Issuer
151,2021-08-01,8,2021,Other Domestic Bonds_Non-Residents,94.696,CORP,Other Domestic Bonds,Non-Residents
139,2021-08-01,8,2021,Other Domestic Bonds_Retail Clients,9.651031,CORP,Other Domestic Bonds,Retail Clients
20,2021-09-01,9,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1944.271,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
32,2021-09-01,9,2021,Corporate Bonds_Banks,1045.078756,CORP,Corporate Bonds,Banks
44,2021-09-01,9,2021,Corporate Bonds_Institutional Clients,32348.40013,CORP,Corporate Bonds,Institutional Clients
8,2021-09-01,9,2021,Corporate Bonds_Investment Dealers,2534.10596,CORP,Corporate Bonds,Investment Dealers
80,2021-09-01,9,2021,Corporate Bonds_Issuer,125.438312,CORP,Corporate Bonds,Issuer
68,2021-09-01,9,2021,Corporate Bonds_Non-Residents,6972.428249,CORP,Corporate Bonds,Non-Residents
56,2021-09-01,9,2021,Corporate Bonds_Retail Clients,1256.341833,CORP,Corporate Bonds,Retail Clients
104,2021-09-01,9,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,40,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
116,2021-09-01,9,2021,Other Domestic Bonds_Banks,8.766263,CORP,Other Domestic Bonds,Banks
128,2021-09-01,9,2021,Other Domestic Bonds_Institutional Clients,312.610135,CORP,Other Domestic Bonds,Institutional Clients
92,2021-09-01,9,2021,Other Domestic Bonds_Investment Dealers,130.2765,CORP,Other Domestic Bonds,Investment Dealers
164,2021-09-01,9,2021,Other Domestic Bonds_Issuer,23.088961,CORP,Other Domestic Bonds,Issuer
152,2021-09-01,9,2021,Other Domestic Bonds_Non-Residents,500.342,CORP,Other Domestic Bonds,Non-Residents
140,2021-09-01,9,2021,Other Domestic Bonds_Retail Clients,11.159423,CORP,Other Domestic Bonds,Retail Clients
21,2021-10-01,10,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1918.123,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
33,2021-10-01,10,2021,Corporate Bonds_Banks,1388.729764,CORP,Corporate Bonds,Banks
45,2021-10-01,10,2021,Corporate Bonds_Institutional Clients,33178.700728,CORP,Corporate Bonds,Institutional Clients
9,2021-10-01,10,2021,Corporate Bonds_Investment Dealers,2530.25552,CORP,Corporate Bonds,Investment Dealers
81,2021-10-01,10,2021,Corporate Bonds_Issuer,34.8327,CORP,Corporate Bonds,Issuer
69,2021-10-01,10,2021,Corporate Bonds_Non-Residents,6070.190678,CORP,Corporate Bonds,Non-Residents
57,2021-10-01,10,2021,Corporate Bonds_Retail Clients,1138.386411,CORP,Corporate Bonds,Retail Clients
105,2021-10-01,10,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,4,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
117,2021-10-01,10,2021,Other Domestic Bonds_Banks,55.495,CORP,Other Domestic Bonds,Banks
129,2021-10-01,10,2021,Other Domestic Bonds_Institutional Clients,507.963,CORP,Other Domestic Bonds,Institutional Clients
93,2021-10-01,10,2021,Other Domestic Bonds_Investment Dealers,106.6975,CORP,Other Domestic Bonds,Investment Dealers
165,2021-10-01,10,2021,Other Domestic Bonds_Issuer,49.069259,CORP,Other Domestic Bonds,Issuer
153,2021-10-01,10,2021,Other Domestic Bonds_Non-Residents,104.5405,CORP,Other Domestic Bonds,Non-Residents
141,2021-10-01,10,2021,Other Domestic Bonds_Retail Clients,33.362,CORP,Other Domestic Bonds,Retail Clients
22,2021-11-01,11,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1002.3885,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
34,2021-11-01,11,2021,Corporate Bonds_Banks,1186.246289,CORP,Corporate Bonds,Banks
46,2021-11-01,11,2021,Corporate Bonds_Institutional Clients,37378.061336,CORP,Corporate Bonds,Institutional Clients
10,2021-11-01,11,2021,Corporate Bonds_Investment Dealers,2581.426554,CORP,Corporate Bonds,Investment Dealers
82,2021-11-01,11,2021,Corporate Bonds_Issuer,111.659649,CORP,Corporate Bonds,Issuer
70,2021-11-01,11,2021,Corporate Bonds_Non-Residents,5917.760603,CORP,Corporate Bonds,Non-Residents
58,2021-11-01,11,2021,Corporate Bonds_Retail Clients,1067.245027,CORP,Corporate Bonds,Retail Clients
106,2021-11-01,11,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
118,2021-11-01,11,2021,Other Domestic Bonds_Banks,56.58202,CORP,Other Domestic Bonds,Banks
130,2021-11-01,11,2021,Other Domestic Bonds_Institutional Clients,348.585355,CORP,Other Domestic Bonds,Institutional Clients
94,2021-11-01,11,2021,Other Domestic Bonds_Investment Dealers,62.805223,CORP,Other Domestic Bonds,Investment Dealers
166,2021-11-01,11,2021,Other Domestic Bonds_Issuer,9.367042,CORP,Other Domestic Bonds,Issuer
154,2021-11-01,11,2021,Other Domestic Bonds_Non-Residents,188.729,CORP,Other Domestic Bonds,Non-Residents
142,2021-11-01,11,2021,Other Domestic Bonds_Retail Clients,35.367405,CORP,Other Domestic Bonds,Retail Clients
23,2021-12-01,12,2021,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,964.3585,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
35,2021-12-01,12,2021,Corporate Bonds_Banks,1290.658841,CORP,Corporate Bonds,Banks
47,2021-12-01,12,2021,Corporate Bonds_Institutional Clients,27642.997892,CORP,Corporate Bonds,Institutional Clients
11,2021-12-01,12,2021,Corporate Bonds_Investment Dealers,1739.046338,CORP,Corporate Bonds,Investment Dealers
83,2021-12-01,12,2021,Corporate Bonds_Issuer,91.408653,CORP,Corporate Bonds,Issuer
71,2021-12-01,12,2021,Corporate Bonds_Non-Residents,5396.844944,CORP,Corporate Bonds,Non-Residents
59,2021-12-01,12,2021,Corporate Bonds_Retail Clients,1043.534127,CORP,Corporate Bonds,Retail Clients
107,2021-12-01,12,2021,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,4,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
119,2021-12-01,12,2021,Other Domestic Bonds_Banks,79.426245,CORP,Other Domestic Bonds,Banks
131,2021-12-01,12,2021,Other Domestic Bonds_Institutional Clients,767.040337,CORP,Other Domestic Bonds,Institutional Clients
95,2021-12-01,12,2021,Other Domestic Bonds_Investment Dealers,69.09904,CORP,Other Domestic Bonds,Investment Dealers
167,2021-12-01,12,2021,Other Domestic Bonds_Issuer,69.875339,CORP,Other Domestic Bonds,Issuer
155,2021-12-01,12,2021,Other Domestic Bonds_Non-Residents,312.927,CORP,Other Domestic Bonds,Non-Residents
143,2021-12-01,12,2021,Other Domestic Bonds_Retail Clients,10.815708,CORP,Other Domestic Bonds,Retail Clients
12,2022-01-01,1,2022,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2348.9135,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
24,2022-01-01,1,2022,Corporate Bonds_Banks,1317.288748,CORP,Corporate Bonds,Banks
36,2022-01-01,1,2022,Corporate Bonds_Institutional Clients,34699.179395,CORP,Corporate Bonds,Institutional Clients
0,2022-01-01,1,2022,Corporate Bonds_Investment Dealers,1989.780915,CORP,Corporate Bonds,Investment Dealers
72,2022-01-01,1,2022,Corporate Bonds_Issuer,37.284683,CORP,Corporate Bonds,Issuer
60,2022-01-01,1,2022,Corporate Bonds_Non-Residents,12469.756638,CORP,Corporate Bonds,Non-Residents
48,2022-01-01,1,2022,Corporate Bonds_Retail Clients,1224.739899,CORP,Corporate Bonds,Retail Clients
96,2022-01-01,1,2022,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
108,2022-01-01,1,2022,Other Domestic Bonds_Banks,147.749198,CORP,Other Domestic Bonds,Banks
120,2022-01-01,1,2022,Other Domestic Bonds_Institutional Clients,154.4534,CORP,Other Domestic Bonds,Institutional Clients
84,2022-01-01,1,2022,Other Domestic Bonds_Investment Dealers,253.22437,CORP,Other Domestic Bonds,Investment Dealers
156,2022-01-01,1,2022,Other Domestic Bonds_Issuer,52.21952,CORP,Other Domestic Bonds,Issuer
144,2022-01-01,1,2022,Other Domestic Bonds_Non-Residents,268.223,CORP,Other Domestic Bonds,Non-Residents
132,2022-01-01,1,2022,Other Domestic Bonds_Retail Clients,10.112113,CORP,Other Domestic Bonds,Retail Clients
13,2022-02-01,2,2022,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1025.4435,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
25,2022-02-01,2,2022,Corporate Bonds_Banks,1205.619568,CORP,Corporate Bonds,Banks
37,2022-02-01,2,2022,Corporate Bonds_Institutional Clients,29240.293827,CORP,Corporate Bonds,Institutional Clients
1,2022-02-01,2,2022,Corporate Bonds_Investment Dealers,2868.353347,CORP,Corporate Bonds,Investment Dealers
73,2022-02-01,2,2022,Corporate Bonds_Issuer,10.5575,CORP,Corporate Bonds,Issuer
61,2022-02-01,2,2022,Corporate Bonds_Non-Residents,5300.688456,CORP,Corporate Bonds,Non-Residents
49,2022-02-01,2,2022,Corporate Bonds_Retail Clients,1297.579895,CORP,Corporate Bonds,Retail Clients
97,2022-02-01,2,2022,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
109,2022-02-01,2,2022,Other Domestic Bonds_Banks,389.766249,CORP,Other Domestic Bonds,Banks
121,2022-02-01,2,2022,Other Domestic Bonds_Institutional Clients,370.201869,CORP,Other Domestic Bonds,Institutional Clients
85,2022-02-01,2,2022,Other Domestic Bonds_Investment Dealers,267.836131,CORP,Other Domestic Bonds,Investment Dealers
157,2022-02-01,2,2022,Other Domestic Bonds_Issuer,15.983,CORP,Other Domestic Bonds,Issuer
145,2022-02-01,2,2022,Other Domestic Bonds_Non-Residents,868.584,CORP,Other Domestic Bonds,Non-Residents
133,2022-02-01,2,2022,Other Domestic Bonds_Retail Clients,6.828121,CORP,Other Domestic Bonds,Retail Clients
14,2022-03-01,3,2022,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,711.573,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
26,2022-03-01,3,2022,Corporate Bonds_Banks,1346.43606,CORP,Corporate Bonds,Banks
38,2022-03-01,3,2022,Corporate Bonds_Institutional Clients,52515.222567,CORP,Corporate Bonds,Institutional Clients
2,2022-03-01,3,2022,Corporate Bonds_Investment Dealers,3632.118942,CORP,Corporate Bonds,Investment Dealers
74,2022-03-01,3,2022,Corporate Bonds_Issuer,113.5805,CORP,Corporate Bonds,Issuer
62,2022-03-01,3,2022,Corporate Bonds_Non-Residents,9048.612284,CORP,Corporate Bonds,Non-Residents
50,2022-03-01,3,2022,Corporate Bonds_Retail Clients,2419.597507,CORP,Corporate Bonds,Retail Clients
98,2022-03-01,3,2022,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
110,2022-03-01,3,2022,Other Domestic Bonds_Banks,218.491936,CORP,Other Domestic Bonds,Banks
122,2022-03-01,3,2022,Other Domestic Bonds_Institutional Clients,785.806577,CORP,Other Domestic Bonds,Institutional Clients
86,2022-03-01,3,2022,Other Domestic Bonds_Investment Dealers,489.23382,CORP,Other Domestic Bonds,Investment Dealers
158,2022-03-01,3,2022,Other Domestic Bonds_Issuer,88.911,CORP,Other Domestic Bonds,Issuer
