,date,month,year,instruments,volume,Segment,AssetClass,Duration
21,2018-10-01,10,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2659,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
33,2018-10-01,10,2018,Corporate Bonds_Banks,1585,CORP,Corporate Bonds,Banks
45,2018-10-01,10,2018,Corporate Bonds_Institutional Clients,35077,CORP,Corporate Bonds,Institutional Clients
9,2018-10-01,10,2018,Corporate Bonds_Investment Dealers,3515,CORP,Corporate Bonds,Investment Dealers
81,2018-10-01,10,2018,Corporate Bonds_Issuer,10,CORP,Corporate Bonds,Issuer
69,2018-10-01,10,2018,Corporate Bonds_Non-Residents,5503,CORP,Corporate Bonds,Non-Residents
57,2018-10-01,10,2018,Corporate Bonds_Retail Clients,1458,CORP,Corporate Bonds,Retail Clients
105,2018-10-01,10,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
117,2018-10-01,10,2018,Other Domestic Bonds_Banks,57,CORP,Other Domestic Bonds,Banks
129,2018-10-01,10,2018,Other Domestic Bonds_Institutional Clients,176,CORP,Other Domestic Bonds,Institutional Clients
93,2018-10-01,10,2018,Other Domestic Bonds_Investment Dealers,63,CORP,Other Domestic Bonds,Investment Dealers
165,2018-10-01,10,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
153,2018-10-01,10,2018,Other Domestic Bonds_Non-Residents,399,CORP,Other Domestic Bonds,Non-Residents
141,2018-10-01,10,2018,Other Domestic Bonds_Retail Clients,79,CORP,Other Domestic Bonds,Retail Clients
22,2018-11-01,11,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2038,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
34,2018-11-01,11,2018,Corporate Bonds_Banks,907,CORP,Corporate Bonds,Banks
46,2018-11-01,11,2018,Corporate Bonds_Institutional Clients,27546,CORP,Corporate Bonds,Institutional Clients
10,2018-11-01,11,2018,Corporate Bonds_Investment Dealers,2201,CORP,Corporate Bonds,Investment Dealers
82,2018-11-01,11,2018,Corporate Bonds_Issuer,82,CORP,Corporate Bonds,Issuer
70,2018-11-01,11,2018,Corporate Bonds_Non-Residents,4134,CORP,Corporate Bonds,Non-Residents
58,2018-11-01,11,2018,Corporate Bonds_Retail Clients,1430,CORP,Corporate Bonds,Retail Clients
106,2018-11-01,11,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
118,2018-11-01,11,2018,Other Domestic Bonds_Banks,27,CORP,Other Domestic Bonds,Banks
130,2018-11-01,11,2018,Other Domestic Bonds_Institutional Clients,96,CORP,Other Domestic Bonds,Institutional Clients
94,2018-11-01,11,2018,Other Domestic Bonds_Investment Dealers,95,CORP,Other Domestic Bonds,Investment Dealers
166,2018-11-01,11,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
154,2018-11-01,11,2018,Other Domestic Bonds_Non-Residents,135,CORP,Other Domestic Bonds,Non-Residents
142,2018-11-01,11,2018,Other Domestic Bonds_Retail Clients,78,CORP,Other Domestic Bonds,Retail Clients
23,2018-12-01,12,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1324,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
35,2018-12-01,12,2018,Corporate Bonds_Banks,1168,CORP,Corporate Bonds,Banks
47,2018-12-01,12,2018,Corporate Bonds_Institutional Clients,26512,CORP,Corporate Bonds,Institutional Clients
11,2018-12-01,12,2018,Corporate Bonds_Investment Dealers,2039,CORP,Corporate Bonds,Investment Dealers
83,2018-12-01,12,2018,Corporate Bonds_Issuer,1,CORP,Corporate Bonds,Issuer
71,2018-12-01,12,2018,Corporate Bonds_Non-Residents,4487,CORP,Corporate Bonds,Non-Residents
59,2018-12-01,12,2018,Corporate Bonds_Retail Clients,1401,CORP,Corporate Bonds,Retail Clients
107,2018-12-01,12,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
119,2018-12-01,12,2018,Other Domestic Bonds_Banks,16,CORP,Other Domestic Bonds,Banks
131,2018-12-01,12,2018,Other Domestic Bonds_Institutional Clients,15,CORP,Other Domestic Bonds,Institutional Clients
95,2018-12-01,12,2018,Other Domestic Bonds_Investment Dealers,17,CORP,Other Domestic Bonds,Investment Dealers
167,2018-12-01,12,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
155,2018-12-01,12,2018,Other Domestic Bonds_Non-Residents,106,CORP,Other Domestic Bonds,Non-Residents
143,2018-12-01,12,2018,Other Domestic Bonds_Retail Clients,67,CORP,Other Domestic Bonds,Retail Clients
12,2019-01-01,1,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,5730,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
24,2019-01-01,1,2019,Corporate Bonds_Banks,3606,CORP,Corporate Bonds,Banks
36,2019-01-01,1,2019,Corporate Bonds_Institutional Clients,37944,CORP,Corporate Bonds,Institutional Clients
0,2019-01-01,1,2019,Corporate Bonds_Investment Dealers,4579,CORP,Corporate Bonds,Investment Dealers
72,2019-01-01,1,2019,Corporate Bonds_Issuer,14,CORP,Corporate Bonds,Issuer
60,2019-01-01,1,2019,Corporate Bonds_Non-Residents,9387,CORP,Corporate Bonds,Non-Residents
48,2019-01-01,1,2019,Corporate Bonds_Retail Clients,1650,CORP,Corporate Bonds,Retail Clients
96,2019-01-01,1,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
108,2019-01-01,1,2019,Other Domestic Bonds_Banks,211,CORP,Other Domestic Bonds,Banks
120,2019-01-01,1,2019,Other Domestic Bonds_Institutional Clients,130,CORP,Other Domestic Bonds,Institutional Clients
84,2019-01-01,1,2019,Other Domestic Bonds_Investment Dealers,257,CORP,Other Domestic Bonds,Investment Dealers
156,2019-01-01,1,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
144,2019-01-01,1,2019,Other Domestic Bonds_Non-Residents,1523,CORP,Other Domestic Bonds,Non-Residents
132,2019-01-01,1,2019,Other Domestic Bonds_Retail Clients,10,CORP,Other Domestic Bonds,Retail Clients
13,2019-02-01,2,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,3458,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
25,2019-02-01,2,2019,Corporate Bonds_Banks,2825,CORP,Corporate Bonds,Banks
37,2019-02-01,2,2019,Corporate Bonds_Institutional Clients,33909,CORP,Corporate Bonds,Institutional Clients
1,2019-02-01,2,2019,Corporate Bonds_Investment Dealers,3779,CORP,Corporate Bonds,Investment Dealers
73,2019-02-01,2,2019,Corporate Bonds_Issuer,41,CORP,Corporate Bonds,Issuer
61,2019-02-01,2,2019,Corporate Bonds_Non-Residents,7068,CORP,Corporate Bonds,Non-Residents
49,2019-02-01,2,2019,Corporate Bonds_Retail Clients,1299,CORP,Corporate Bonds,Retail Clients
97,2019-02-01,2,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
109,2019-02-01,2,2019,Other Domestic Bonds_Banks,99,CORP,Other Domestic Bonds,Banks
121,2019-02-01,2,2019,Other Domestic Bonds_Institutional Clients,604,CORP,Other Domestic Bonds,Institutional Clients
85,2019-02-01,2,2019,Other Domestic Bonds_Investment Dealers,566,CORP,Other Domestic Bonds,Investment Dealers
157,2019-02-01,2,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
145,2019-02-01,2,2019,Other Domestic Bonds_Non-Residents,3685,CORP,Other Domestic Bonds,Non-Residents
133,2019-02-01,2,2019,Other Domestic Bonds_Retail Clients,11,CORP,Other Domestic Bonds,Retail Clients
14,2019-03-01,3,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2445,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
26,2019-03-01,3,2019,Corporate Bonds_Banks,2729,CORP,Corporate Bonds,Banks
38,2019-03-01,3,2019,Corporate Bonds_Institutional Clients,37941,CORP,Corporate Bonds,Institutional Clients
2,2019-03-01,3,2019,Corporate Bonds_Investment Dealers,3575,CORP,Corporate Bonds,Investment Dealers
74,2019-03-01,3,2019,Corporate Bonds_Issuer,21,CORP,Corporate Bonds,Issuer
62,2019-03-01,3,2019,Corporate Bonds_Non-Residents,6669,CORP,Corporate Bonds,Non-Residents
50,2019-03-01,3,2019,Corporate Bonds_Retail Clients,1710,CORP,Corporate Bonds,Retail Clients
98,2019-03-01,3,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
110,2019-03-01,3,2019,Other Domestic Bonds_Banks,80,CORP,Other Domestic Bonds,Banks
122,2019-03-01,3,2019,Other Domestic Bonds_Institutional Clients,215,CORP,Other Domestic Bonds,Institutional Clients
86,2019-03-01,3,2019,Other Domestic Bonds_Investment Dealers,28,CORP,Other Domestic Bonds,Investment Dealers
158,2019-03-01,3,2019,Other Domestic Bonds_Issuer,27.0,CORP,Other Domestic Bonds,Issuer
146,2019-03-01,3,2019,Other Domestic Bonds_Non-Residents,502,CORP,Other Domestic Bonds,Non-Residents
134,2019-03-01,3,2019,Other Domestic Bonds_Retail Clients,28,CORP,Other Domestic Bonds,Retail Clients
15,2019-04-01,4,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1726,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
27,2019-04-01,4,2019,Corporate Bonds_Banks,1333,CORP,Corporate Bonds,Banks
39,2019-04-01,4,2019,Corporate Bonds_Institutional Clients,35248,CORP,Corporate Bonds,Institutional Clients
3,2019-04-01,4,2019,Corporate Bonds_Investment Dealers,3319,CORP,Corporate Bonds,Investment Dealers
75,2019-04-01,4,2019,Corporate Bonds_Issuer,42,CORP,Corporate Bonds,Issuer
63,2019-04-01,4,2019,Corporate Bonds_Non-Residents,5221,CORP,Corporate Bonds,Non-Residents
51,2019-04-01,4,2019,Corporate Bonds_Retail Clients,1497,CORP,Corporate Bonds,Retail Clients
99,2019-04-01,4,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
111,2019-04-01,4,2019,Other Domestic Bonds_Banks,8,CORP,Other Domestic Bonds,Banks
123,2019-04-01,4,2019,Other Domestic Bonds_Institutional Clients,478,CORP,Other Domestic Bonds,Institutional Clients
87,2019-04-01,4,2019,Other Domestic Bonds_Investment Dealers,115,CORP,Other Domestic Bonds,Investment Dealers
159,2019-04-01,4,2019,Other Domestic Bonds_Issuer,55.0,CORP,Other Domestic Bonds,Issuer
147,2019-04-01,4,2019,Other Domestic Bonds_Non-Residents,213,CORP,Other Domestic Bonds,Non-Residents
135,2019-04-01,4,2019,Other Domestic Bonds_Retail Clients,83,CORP,Other Domestic Bonds,Retail Clients
16,2019-05-01,5,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1492,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
28,2019-05-01,5,2019,Corporate Bonds_Banks,1386,CORP,Corporate Bonds,Banks
40,2019-05-01,5,2019,Corporate Bonds_Institutional Clients,32315,CORP,Corporate Bonds,Institutional Clients
4,2019-05-01,5,2019,Corporate Bonds_Investment Dealers,3528,CORP,Corporate Bonds,Investment Dealers
76,2019-05-01,5,2019,Corporate Bonds_Issuer,37,CORP,Corporate Bonds,Issuer
64,2019-05-01,5,2019,Corporate Bonds_Non-Residents,4686,CORP,Corporate Bonds,Non-Residents
52,2019-05-01,5,2019,Corporate Bonds_Retail Clients,1336,CORP,Corporate Bonds,Retail Clients
100,2019-05-01,5,2019,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
112,2019-05-01,5,2019,Other Domestic Bonds_Banks,43,CORP,Other Domestic Bonds,Banks
124,2019-05-01,5,2019,Other Domestic Bonds_Institutional Clients,214,CORP,Other Domestic Bonds,Institutional Clients
88,2019-05-01,5,2019,Other Domestic Bonds_Investment Dealers,186,CORP,Other Domestic Bonds,Investment Dealers
160,2019-05-01,5,2019,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
148,2019-05-01,5,2019,Other Domestic Bonds_Non-Residents,727,CORP,Other Domestic Bonds,Non-Residents
136,2019-05-01,5,2019,Other Domestic Bonds_Retail Clients,29,CORP,Other Domestic Bonds,Retail Clients
17,2019-06-01,6,2019,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,1100,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
29,2019-06-01,6,2019,Corporate Bonds_Banks,6473,CORP,Corporate Bonds,Banks
41,2019-06-01,6,2019,Corporate Bonds_Institutional Clients,38279,CORP,Corporate Bonds,Institutional Clients
5,2019-06-01,6,2019,Corporate Bonds_Investment Dealers,4331,CORP,Corporate Bonds,Investment Dealers
