,date,month,year,instruments,volume
80,2019-09-01,9,2019,Federal Crown Corporation Bonds_Issuer,1
68,2019-09-01,9,2019,Federal Crown Corporation Bonds_Non-Residents,7898
56,2019-09-01,9,2019,Federal Crown Corporation Bonds_Retail Clients,191
104,2019-09-01,9,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,35782
116,2019-09-01,9,2019,Provincial Bonds_Banks,5698
128,2019-09-01,9,2019,Provincial Bonds_Institutional Clients,41144
92,2019-09-01,9,2019,Provincial Bonds_Investment Dealers,4864
164,2019-09-01,9,2019,Provincial Bonds_Issuer,246
152,2019-09-01,9,2019,Provincial Bonds_Non-Residents,7453
140,2019-09-01,9,2019,Provincial Bonds_Retail Clients,457
21,2019-10-01,10,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,24530
33,2019-10-01,10,2019,Federal Crown Corporation Bonds_Banks,6372
45,2019-10-01,10,2019,Federal Crown Corporation Bonds_Institutional Clients,26388
9,2019-10-01,10,2019,Federal Crown Corporation Bonds_Investment Dealers,5272
81,2019-10-01,10,2019,Federal Crown Corporation Bonds_Issuer,0
69,2019-10-01,10,2019,Federal Crown Corporation Bonds_Non-Residents,7782
57,2019-10-01,10,2019,Federal Crown Corporation Bonds_Retail Clients,162
105,2019-10-01,10,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,38607
117,2019-10-01,10,2019,Provincial Bonds_Banks,7274
129,2019-10-01,10,2019,Provincial Bonds_Institutional Clients,42651
93,2019-10-01,10,2019,Provincial Bonds_Investment Dealers,5509
165,2019-10-01,10,2019,Provincial Bonds_Issuer,312
153,2019-10-01,10,2019,Provincial Bonds_Non-Residents,9401
141,2019-10-01,10,2019,Provincial Bonds_Retail Clients,348
22,2019-11-01,11,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,19277
34,2019-11-01,11,2019,Federal Crown Corporation Bonds_Banks,7690
46,2019-11-01,11,2019,Federal Crown Corporation Bonds_Institutional Clients,23718
10,2019-11-01,11,2019,Federal Crown Corporation Bonds_Investment Dealers,2177
82,2019-11-01,11,2019,Federal Crown Corporation Bonds_Issuer,0
70,2019-11-01,11,2019,Federal Crown Corporation Bonds_Non-Residents,4870
58,2019-11-01,11,2019,Federal Crown Corporation Bonds_Retail Clients,197
106,2019-11-01,11,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,34430
118,2019-11-01,11,2019,Provincial Bonds_Banks,6340
130,2019-11-01,11,2019,Provincial Bonds_Institutional Clients,55307
94,2019-11-01,11,2019,Provincial Bonds_Investment Dealers,5044
166,2019-11-01,11,2019,Provincial Bonds_Issuer,478
154,2019-11-01,11,2019,Provincial Bonds_Non-Residents,6917
142,2019-11-01,11,2019,Provincial Bonds_Retail Clients,323
23,2019-12-01,12,2019,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,25054
35,2019-12-01,12,2019,Federal Crown Corporation Bonds_Banks,8718
47,2019-12-01,12,2019,Federal Crown Corporation Bonds_Institutional Clients,24884
11,2019-12-01,12,2019,Federal Crown Corporation Bonds_Investment Dealers,3731
83,2019-12-01,12,2019,Federal Crown Corporation Bonds_Issuer,5
71,2019-12-01,12,2019,Federal Crown Corporation Bonds_Non-Residents,4784
59,2019-12-01,12,2019,Federal Crown Corporation Bonds_Retail Clients,390
107,2019-12-01,12,2019,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,29612
119,2019-12-01,12,2019,Provincial Bonds_Banks,5218
131,2019-12-01,12,2019,Provincial Bonds_Institutional Clients,36946
95,2019-12-01,12,2019,Provincial Bonds_Investment Dealers,4009
167,2019-12-01,12,2019,Provincial Bonds_Issuer,881
155,2019-12-01,12,2019,Provincial Bonds_Non-Residents,6914
143,2019-12-01,12,2019,Provincial Bonds_Retail Clients,788
12,2020-01-01,1,2020,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,30017.354
24,2020-01-01,1,2020,Federal Crown Corporation Bonds_Banks,5502.73425
36,2020-01-01,1,2020,Federal Crown Corporation Bonds_Institutional Clients,28218.211151
0,2020-01-01,1,2020,Federal Crown Corporation Bonds_Investment Dealers,1927.997748
72,2020-01-01,1,2020,Federal Crown Corporation Bonds_Issuer,16.5
60,2020-01-01,1,2020,Federal Crown Corporation Bonds_Non-Residents,5837.572655
48,2020-01-01,1,2020,Federal Crown Corporation Bonds_Retail Clients,208.471552
96,2020-01-01,1,2020,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,41610.891
108,2020-01-01,1,2020,Provincial Bonds_Banks,4980.769
120,2020-01-01,1,2020,Provincial Bonds_Institutional Clients,44966.230725
84,2020-01-01,1,2020,Provincial Bonds_Investment Dealers,3350.02449
156,2020-01-01,1,2020,Provincial Bonds_Issuer,367.87
144,2020-01-01,1,2020,Provincial Bonds_Non-Residents,10381.174808
132,2020-01-01,1,2020,Provincial Bonds_Retail Clients,489.450073
13,2020-02-01,2,2020,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,18135.87
25,2020-02-01,2,2020,Federal Crown Corporation Bonds_Banks,4523.3445
37,2020-02-01,2,2020,Federal Crown Corporation Bonds_Institutional Clients,22704.898
1,2020-02-01,2,2020,Federal Crown Corporation Bonds_Investment Dealers,2370.72732
73,2020-02-01,2,2020,Federal Crown Corporation Bonds_Issuer,0
61,2020-02-01,2,2020,Federal Crown Corporation Bonds_Non-Residents,5314.994276
49,2020-02-01,2,2020,Federal Crown Corporation Bonds_Retail Clients,261.288064
97,2020-02-01,2,2020,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,37480.4095
109,2020-02-01,2,2020,Provincial Bonds_Banks,4479.76768
121,2020-02-01,2,2020,Provincial Bonds_Institutional Clients,47779.74269
85,2020-02-01,2,2020,Provincial Bonds_Investment Dealers,2949.622694
157,2020-02-01,2,2020,Provincial Bonds_Issuer,413.675
145,2020-02-01,2,2020,Provincial Bonds_Non-Residents,12831.123631
133,2020-02-01,2,2020,Provincial Bonds_Retail Clients,597.326535
14,2020-03-01,3,2020,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,21506.194
26,2020-03-01,3,2020,Federal Crown Corporation Bonds_Banks,9708.688
38,2020-03-01,3,2020,Federal Crown Corporation Bonds_Institutional Clients,42240.72228
2,2020-03-01,3,2020,Federal Crown Corporation Bonds_Investment Dealers,3796.825886
74,2020-03-01,3,2020,Federal Crown Corporation Bonds_Issuer,0
62,2020-03-01,3,2020,Federal Crown Corporation Bonds_Non-Residents,9757.532127
50,2020-03-01,3,2020,Federal Crown Corporation Bonds_Retail Clients,390.078562
98,2020-03-01,3,2020,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,34435.482
