,date,month,year,instruments,volume
21,2018-10-01,10,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,134
33,2018-10-01,10,2018,Mortgage Backed Securities_Banks,1458
45,2018-10-01,10,2018,Mortgage Backed Securities_Institutional Clients,2481
9,2018-10-01,10,2018,Mortgage Backed Securities_Investment Dealers,556
81,2018-10-01,10,2018,Mortgage Backed Securities_Issuer,358
69,2018-10-01,10,2018,Mortgage Backed Securities_Non-Residents,57
57,2018-10-01,10,2018,Mortgage Backed Securities_Retail Clients,15
106,2018-11-01,11,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,196
118,2018-11-01,11,2018,Asset-Backed Securities_Banks,3
130,2018-11-01,11,2018,Asset-Backed Securities_Institutional Clients,971
94,2018-11-01,11,2018,Asset-Backed Securities_Investment Dealers,32
166,2018-11-01,11,2018,Asset-Backed Securities_Issuer,0.0
154,2018-11-01,11,2018,Asset-Backed Securities_Non-Residents,73
142,2018-11-01,11,2018,Asset-Backed Securities_Retail Clients,2
22,2018-11-01,11,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,23
34,2018-11-01,11,2018,Mortgage Backed Securities_Banks,1815
46,2018-11-01,11,2018,Mortgage Backed Securities_Institutional Clients,4349
10,2018-11-01,11,2018,Mortgage Backed Securities_Investment Dealers,694
82,2018-11-01,11,2018,Mortgage Backed Securities_Issuer,0
70,2018-11-01,11,2018,Mortgage Backed Securities_Non-Residents,279
58,2018-11-01,11,2018,Mortgage Backed Securities_Retail Clients,26
107,2018-12-01,12,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,0
119,2018-12-01,12,2018,Asset-Backed Securities_Banks,2
131,2018-12-01,12,2018,Asset-Backed Securities_Institutional Clients,617
95,2018-12-01,12,2018,Asset-Backed Securities_Investment Dealers,184
167,2018-12-01,12,2018,Asset-Backed Securities_Issuer,0.0
155,2018-12-01,12,2018,Asset-Backed Securities_Non-Residents,12
143,2018-12-01,12,2018,Asset-Backed Securities_Retail Clients,2
23,2018-12-01,12,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,31
35,2018-12-01,12,2018,Mortgage Backed Securities_Banks,2035
47,2018-12-01,12,2018,Mortgage Backed Securities_Institutional Clients,3429
11,2018-12-01,12,2018,Mortgage Backed Securities_Investment Dealers,304
83,2018-12-01,12,2018,Mortgage Backed Securities_Issuer,0
71,2018-12-01,12,2018,Mortgage Backed Securities_Non-Residents,103
59,2018-12-01,12,2018,Mortgage Backed Securities_Retail Clients,19
96,2019-01-01,1,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,212
108,2019-01-01,1,2019,Asset-Backed Securities_Banks,7
120,2019-01-01,1,2019,Asset-Backed Securities_Institutional Clients,582
84,2019-01-01,1,2019,Asset-Backed Securities_Investment Dealers,48
156,2019-01-01,1,2019,Asset-Backed Securities_Issuer,0.0
144,2019-01-01,1,2019,Asset-Backed Securities_Non-Residents,169
132,2019-01-01,1,2019,Asset-Backed Securities_Retail Clients,43
12,2019-01-01,1,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,24
24,2019-01-01,1,2019,Mortgage Backed Securities_Banks,2861
36,2019-01-01,1,2019,Mortgage Backed Securities_Institutional Clients,4996
0,2019-01-01,1,2019,Mortgage Backed Securities_Investment Dealers,1182
72,2019-01-01,1,2019,Mortgage Backed Securities_Issuer,0
60,2019-01-01,1,2019,Mortgage Backed Securities_Non-Residents,917
48,2019-01-01,1,2019,Mortgage Backed Securities_Retail Clients,103
97,2019-02-01,2,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,42
109,2019-02-01,2,2019,Asset-Backed Securities_Banks,11
121,2019-02-01,2,2019,Asset-Backed Securities_Institutional Clients,1254
85,2019-02-01,2,2019,Asset-Backed Securities_Investment Dealers,12
157,2019-02-01,2,2019,Asset-Backed Securities_Issuer,0.0
145,2019-02-01,2,2019,Asset-Backed Securities_Non-Residents,103
133,2019-02-01,2,2019,Asset-Backed Securities_Retail Clients,2
13,2019-02-01,2,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
25,2019-02-01,2,2019,Mortgage Backed Securities_Banks,1063
37,2019-02-01,2,2019,Mortgage Backed Securities_Institutional Clients,3258
1,2019-02-01,2,2019,Mortgage Backed Securities_Investment Dealers,1030
73,2019-02-01,2,2019,Mortgage Backed Securities_Issuer,880
61,2019-02-01,2,2019,Mortgage Backed Securities_Non-Residents,74
49,2019-02-01,2,2019,Mortgage Backed Securities_Retail Clients,18
98,2019-03-01,3,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,114
110,2019-03-01,3,2019,Asset-Backed Securities_Banks,495
